;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
4918;4919;93.0;0.0;USA;;;191;1.0;18.0;142;0.0;110.0;79.0;75.0;338;6.3;Good
4795;4796;90.0;1.0;USA;400000.0;1689999.0;3675;48.0;69.0;426;25.0;231.0;200.0;138.0;771;7.1;Good
1141;1142;118.0;1.0;USA;44000000.0;44834712.0;13995;62.0;28.0;353;13.0;23000.0;2000.0;643.0;26907;5.6;Fair
3347;3348;128.0;2.0;India;;1207007.0;13577;47.0;15.0;341;11.0;3000.0;687.0;119.0;4004;7.3;Good
2534;2535;136.0;2.0;USA;16500000.0;42700000.0;78392;196.0;69.0;0;0.0;25000.0;14000.0;1000.0;41059;7.7;Good
669;670;99.0;0.0;USA;65000000.0;59617068.0;213863;310.0;313.0;59000;119.0;600.0;346.0;174.0;1375;6.4;Good
626;627;116.0;1.0;UK;70000000.0;5851188.0;31124;313.0;159.0;764;105.0;844.0;729.0;246.0;1899;4.2;Fair
2768;2769;98.0;1.0;USA;15000000.0;68856263.0;69733;97.0;39.0;0;226.0;953.0;730.0;496.0;2496;6.9;Good
4435;4436;93.0;1.0;USA;1500000.0;;7;;;132;228.0;310.0;228.0;134.0;771;7.6;Good
4026;4027;92.0;0.0;USA;3000000.0;2926565.0;28573;72.0;159.0;0;0.0;1000.0;585.0;539.0;3608;6.5;Good
4543;4544;103.0;2.0;USA;1000000.0;9013113.0;36321;230.0;169.0;0;2.0;2000.0;508.0;226.0;3192;7.4;Good
3934;3935;99.0;4.0;USA;4000000.0;562059.0;8535;113.0;41.0;872;60.0;979.0;665.0;444.0;3130;7.0;Good
2907;2908;132.0;2.0;USA;16000000.0;1508689.0;5648;50.0;28.0;329;44.0;1000.0;653.0;241.0;2004;6.7;Good
4329;4330;97.0;3.0;USA;14000000.0;;5182;67.0;12.0;912;10.0;15000.0;284.0;171.0;15740;6.3;Good
1690;1691;98.0;5.0;USA;40000000.0;16323969.0;45775;112.0;74.0;462;41.0;13000.0;2000.0;900.0;18085;5.5;Fair
3021;3022;130.0;1.0;China;12000000.0;;117;6.0;6.0;4;3.0;215.0;27.0;2.0;244;6.2;Good
3099;3100;119.0;1.0;USA;13800000.0;52293982.0;57831;115.0;59.0;0;17000.0;10000.0;970.0;638.0;11895;7.0;Good
4662;4663;88.0;1.0;France;800000.0;2073984.0;4743;135.0;59.0;219;6.0;302.0;270.0;68.0;663;7.2;Good
1084;1085;122.0;2.0;USA;45000000.0;76261036.0;305929;633.0;109.0;0;845.0;18000.0;881.0;854.0;22370;7.7;Good
4557;4558;93.0;2.0;USA;;5283379.0;31254;79.0;185.0;0;7.0;3000.0;439.0;180.0;3986;6.8;Good
1552;1553;120.0;3.0;USA;32000000.0;36733909.0;38949;112.0;43.0;0;155.0;344.0;242.0;240.0;2054;7.1;Good
1834;1835;123.0;0.0;USA;25000000.0;100241322.0;175524;752.0;134.0;0;108.0;1000.0;264.0;239.0;1690;7.2;Good
2415;2416;111.0;0.0;USA;15000000.0;31471430.0;83374;828.0;279.0;0;521.0;97.0;68.0;64.0;313;7.6;Good
1516;1517;101.0;0.0;Japan;34000000.0;15081783.0;85589;144.0;256.0;0;6000.0;6.0;3.0;2.0;13;7.7;Good
679;680;121.0;2.0;USA;65000000.0;33328051.0;60508;285.0;94.0;4000;212.0;394.0;380.0;263.0;1531;6.7;Good
2883;2884;102.0;2.0;USA;13000000.0;17738570.0;351274;457.0;364.0;131000;139.0;8000.0;3000.0;850.0;13631;8.0;Good
3920;3921;110.0;6.0;USA;4000000.0;4301331.0;78241;177.0;51.0;0;99.0;4000.0;975.0;960.0;7921;6.7;Good
291;292;106.0;1.0;USA;100000000.0;65452312.0;149998;285.0;267.0;0;12000.0;18000.0;464.0;385.0;19906;6.4;Good
4619;4620;96.0;0.0;Spain;;;955;7.0;9.0;68;0.0;90.0;0.0;0.0;90;7.2;Good
2651;2652;126.0;1.0;USA;15000000.0;30226144.0;47626;118.0;112.0;0;18000.0;18000.0;2000.0;697.0;22745;7.6;Good
280;281;104.0;0.0;New Line;90000000.0;6712451.0;4102;89.0;62.0;53;23.0;752.0;631.0;591.0;3133;4.4;Fair
1413;1414;105.0;2.0;USA;35000000.0;67962333.0;33887;160.0;104.0;919;8.0;1000.0;358.0;278.0;2689;5.9;Fair
25;26;194.0;0.0;USA;200000000.0;658672302.0;793059;2528.0;315.0;26000;0.0;29000.0;14000.0;794.0;45223;7.7;Good
435;436;101.0;1.0;USA;81000000.0;242589580.0;296904;604.0;191.0;0;293.0;11000.0;7000.0;1000.0;21276;6.7;Good
3933;3934;103.0;0.0;USA;4500000.0;;4091;20.0;35.0;987;5.0;1000.0;1000.0;842.0;3408;5.7;Fair
3303;3304;91.0;4.0;USA;9000000.0;;7767;56.0;41.0;0;12.0;1000.0;300.0;297.0;1991;5.7;Fair
570;571;122.0;5.0;USA;73000000.0;148213377.0;130776;437.0;164.0;0;285.0;8000.0;1000.0;989.0;12410;6.6;Good
1569;1570;93.0;4.0;USA;32000000.0;;3088;31.0;12.0;290;0.0;330.0;239.0;239.0;1073;5.7;Fair
2709;2710;99.0;1.0;USA;;;1465;56.0;;515;45.0;1000.0;393.0;224.0;2166;7.4;Good
4254;4255;102.0;1.0;Hong Kong;2000000.0;11546543.0;34520;146.0;77.0;0;32.0;483.0;147.0;75.0;768;7.6;Good
1481;1482;116.0;1.0;UK;27000000.0;;23351;178.0;57.0;0;170.0;14000.0;192.0;136.0;14744;6.0;Fair
1381;1382;115.0;0.0;Russia;29500000.0;;4387;21.0;14.0;240;35.0;463.0;35.0;30.0;599;5.3;Fair
4126;4127;80.0;1.0;USA;3000000.0;;1257;24.0;14.0;48;0.0;231.0;27.0;19.0;313;3.3;Bad
3940;3941;85.0;1.0;Australia;1500000.0;265107.0;4617;93.0;51.0;614;0.0;945.0;774.0;209.0;2282;6.3;Good
4043;4044;105.0;4.0;USA;3200000.0;5776314.0;73349;142.0;261.0;15000;101.0;1000.0;394.0;157.0;2016;7.2;Good
3338;3339;101.0;4.0;USA;8500000.0;34017854.0;51326;116.0;132.0;8000;17.0;35000.0;966.0;429.0;36892;6.5;Good
3964;3965;84.0;2.0;USA;4000000.0;;1929;4.0;3.0;170;4.0;637.0;346.0;271.0;1932;6.3;Good
2203;2204;143.0;3.0;France;25000000.0;34300771.0;243799;908.0;285.0;0;0.0;11000.0;119.0;51.0;11248;7.5;Good
3715;3716;113.0;0.0;USA;9000000.0;25530884.0;845580;2067.0;274.0;40000;22000.0;716.0;651.0;379.0;1997;8.5;Excellent
143;144;85.0;0.0;UK;149000000.0;64459316.0;85086;122.0;135.0;0;42.0;20000.0;14000.0;586.0;35161;6.7;Good
1296;1297;99.0;2.0;USA;40000000.0;14358033.0;17365;66.0;40.0;630;0.0;782.0;658.0;402.0;2125;5.9;Fair
1884;1885;122.0;0.0;USA;25000000.0;74273505.0;612060;1518.0;488.0;21000;1000.0;2000.0;939.0;883.0;4738;8.1;Excellent
3082;3083;99.0;2.0;USA;10500000.0;125169.0;859;31.0;5.0;119;11.0;665.0;446.0;327.0;2272;6.4;Good
4551;4552;109.0;0.0;UK;1100000.0;;162;5.0;29.0;75;0.0;202.0;47.0;30.0;283;7.0;Good
299;300;131.0;0.0;USA;100000000.0;173005002.0;255447;692.0;193.0;0;226.0;12000.0;625.0;341.0;13679;6.9;Good
3395;3396;140.0;3.0;UK;;25967000.0;21254;86.0;51.0;788;133.0;12000.0;898.0;136.0;13180;7.5;Good
1806;1807;148.0;1.0;USA;27000000.0;54200000.0;142448;319.0;125.0;14000;644.0;1000.0;809.0;326.0;2566;7.9;Good
4506;4507;76.0;6.0;USA;;;9560;35.0;14.0;636;0.0;387.0;295.0;227.0;1190;3.8;Bad
2343;2344;106.0;1.0;Spain;;54734.0;20821;62.0;140.0;0;448.0;9000.0;750.0;648.0;10982;5.7;Fair
2766;2767;101.0;0.0;USA;15000000.0;;1554;20.0;22.0;0;34.0;892.0;355.0;277.0;2055;5.7;Fair
190;191;90.0;0.0;USA;130000000.0;149234747.0;114287;137.0;246.0;16000;50.0;4000.0;442.0;397.0;5046;6.7;Good
415;416;130.0;1.0;USA;70000000.0;50016394.0;106528;257.0;80.0;0;323.0;670.0;442.0;330.0;2407;6.2;Good
3847;3848;109.0;0.0;USA;4500000.0;3798532.0;41138;208.0;120.0;2000;0.0;3000.0;441.0;126.0;3668;7.4;Good
1323;1324;112.0;0.0;France;25000000.0;77231.0;3322;32.0;30.0;265;44.0;1000.0;580.0;533.0;2115;6.0;Fair
2873;2874;93.0;1.0;UK;13000000.0;4919896.0;21530;159.0;111.0;618;16.0;567.0;326.0;258.0;1775;6.1;Good
3513;3514;105.0;3.0;USA;7000000.0;2062066.0;11387;147.0;97.0;357;261.0;783.0;658.0;617.0;2684;6.6;Good
4040;4041;113.0;1.0;USA;3200000.0;;53741;214.0;107.0;0;673.0;756.0;423.0;332.0;2693;8.1;Excellent
1391;1392;114.0;1.0;USA;37000000.0;33037754.0;75864;197.0;267.0;23000;101.0;12000.0;3000.0;2000.0;19904;6.0;Fair
3642;3643;152.0;0.0;USA;;23807.0;2143;29.0;47.0;570;194.0;103.0;2.0;0.0;105;8.3;Excellent
1858;1859;101.0;3.0;USA;22000000.0;1075288.0;7772;55.0;42.0;145;30.0;1000.0;854.0;223.0;2228;6.1;Good
3309;3310;84.0;0.0;USA;9000000.0;11860839.0;5156;21.0;67.0;0;64.0;2000.0;892.0;748.0;4617;5.4;Fair
186;187;115.0;3.0;USA;120000000.0;292298923.0;185394;329.0;322.0;65000;386.0;21000.0;17000.0;12000.0;59177;5.5;Fair
2881;2882;105.0;0.0;USA;26000000.0;28501651.0;88037;201.0;217.0;10000;260.0;20000.0;15000.0;1000.0;39473;7.1;Good
332;333;146.0;4.0;USA;100000000.0;95328937.0;59581;293.0;221.0;0;127.0;962.0;740.0;722.0;4555;4.3;Fair
1203;1204;123.0;2.0;USA;40000000.0;94125426.0;79264;277.0;252.0;13000;0.0;11000.0;935.0;923.0;13321;7.0;Good
2086;2087;84.0;1.0;USA;22000000.0;55762229.0;47383;132.0;75.0;1000;42.0;436.0;241.0;182.0;1203;4.8;Fair
4691;4692;104.0;;USA;1000000.0;;1354;17.0;23.0;523;0.0;601.0;524.0;195.0;1581;6.3;Good
2395;2396;105.0;1.0;USA;17000000.0;76400000.0;58743;192.0;110.0;0;12000.0;12000.0;664.0;643.0;14762;6.6;Good
1988;1989;111.0;2.0;USA;25000000.0;56692.0;177401;504.0;355.0;32000;214.0;10000.0;9000.0;3000.0;23566;7.3;Good
3033;3034;107.0;3.0;USA;11000000.0;49797148.0;49007;97.0;57.0;0;42.0;1000.0;854.0;808.0;3435;7.2;Good
2694;2695;124.0;0.0;USA;15000000.0;10763469.0;13692;55.0;42.0;877;11000.0;11000.0;860.0;563.0;12685;6.4;Good
1294;1295;87.0;0.0;USA;40000000.0;20999103.0;139114;245.0;335.0;15000;0.0;13000.0;11000.0;563.0;24770;7.8;Good
2775;2776;99.0;4.0;USA;14000000.0;38048637.0;47814;426.0;101.0;0;9.0;975.0;912.0;648.0;3500;5.5;Fair
4475;4476;101.0;4.0;USA;1250000.0;;24959;136.0;97.0;0;0.0;287.0;160.0;66.0;581;8.0;Good
3972;3973;92.0;3.0;USA;;;257;6.0;1.0;237;2.0;881.0;826.0;601.0;3229;7.3;Good
4068;4069;125.0;2.0;USA;3000000.0;;109335;241.0;183.0;0;0.0;516.0;417.0;180.0;1328;8.3;Excellent
4791;4792;90.0;0.0;USA;1066167.0;258113.0;42678;135.0;279.0;0;57.0;1000.0;235.0;92.0;1528;7.1;Good
2753;2754;124.0;1.0;UK;15000000.0;;695;32.0;22.0;277;67.0;631.0;452.0;303.0;1585;6.6;Good
4500;4501;88.0;0.0;USA;1200000.0;58936.0;91;4.0;12.0;27;0.0;268.0;44.0;3.0;318;6.1;Good
4792;4793;84.0;0.0;USA;15000.0;107917283.0;184824;1189.0;409.0;12000;110.0;189.0;109.0;21.0;330;6.3;Good
3884;3885;94.0;0.0;Canada;4000000.0;105500000.0;31260;152.0;75.0;0;84.0;110.0;95.0;95.0;582;6.2;Good
4386;4387;126.0;10.0;USA;1644736.0;;17799;133.0;51.0;0;964.0;319.0;302.0;275.0;1363;8.0;Good
804;805;106.0;3.0;Germany;60000000.0;17281832.0;60232;110.0;161.0;0;34.0;3000.0;1000.0;466.0;5329;6.1;Good
4744;4745;90.0;5.0;USA;;342936.0;45928;106.0;155.0;0;217.0;10000.0;10000.0;243.0;20480;6.1;Good
2966;2967;113.0;1.0;USA;;12796277.0;41226;281.0;232.0;0;438.0;11000.0;536.0;471.0;12274;6.7;Good
4163;4164;90.0;0.0;Denmark;;;1828;6.0;2.0;77;0.0;122.0;33.0;13.0;197;5.7;Fair
3646;3647;95.0;1.0;USA;12000000.0;65804.0;32512;86.0;162.0;0;24.0;16000.0;10000.0;874.0;27575;6.3;Good
103;104;109.0;0.0;USA;150000000.0;63143812.0;124185;238.0;235.0;11000;226.0;12000.0;418.0;370.0;13388;6.1;Good
4451;4452;94.0;0.0;UK;1400000.0;36830.0;3291;63.0;60.0;400;87.0;87.0;70.0;37.0;256;6.6;Good
4149;4150;107.0;2.0;UK;2800000.0;;80961;310.0;154.0;7000;503.0;264.0;139.0;108.0;673;7.6;Good
4133;4134;90.0;3.0;USA;3000000.0;;13599;30.0;23.0;6000;2000.0;2000.0;606.0;454.0;3666;5.8;Fair
2425;2426;109.0;0.0;USA;18000000.0;22927390.0;25344;77.0;111.0;0;7.0;2000.0;980.0;827.0;4947;5.6;Fair
2056;2057;97.0;3.0;USA;23000000.0;27338033.0;19709;167.0;92.0;0;956.0;20000.0;551.0;99.0;20798;6.1;Good
4823;4824;65.0;1.0;USA;325000.0;;64888;235.0;124.0;0;964.0;380.0;114.0;21.0;540;8.2;Excellent
4895;4896;96.0;0.0;USA;200000.0;4505922.0;63951;252.0;77.0;0;218.0;4000.0;135.0;31.0;4230;7.4;Good
967;968;109.0;1.0;USA;60000000.0;55092830.0;195043;329.0;288.0;27000;154.0;15000.0;348.0;144.0;15608;6.1;Good
2190;2191;30.0;2.0;USA;;;1922;20.0;3.0;211;;607.0;378.0;295.0;1530;3.5;Bad
1847;1848;129.0;4.0;USA;26000000.0;49874933.0;161168;287.0;335.0;43000;0.0;12000.0;412.0;385.0;13573;6.5;Good
2888;2889;88.0;6.0;UK;13000000.0;1024175.0;82331;297.0;399.0;18000;115.0;1000.0;305.0;304.0;2011;6.6;Good
4802;4803;22.0;0.0;USA;;;7458;82.0;11.0;526;;59.0;11.0;6.0;81;8.2;Excellent
4945;4946;90.0;1.0;USA;120000.0;;102;7.0;12.0;14;0.0;;;;0;6.6;Good
3323;3324;76.0;0.0;UK;;;4990;64.0;19.0;0;4.0;722.0;212.0;151.0;1254;5.7;Fair
3583;3584;110.0;1.0;USA;6000000.0;102308900.0;152089;309.0;130.0;0;131.0;640.0;566.0;399.0;2169;8.1;Excellent
1695;1696;96.0;2.0;USA;30000000.0;14208384.0;11520;105.0;73.0;625;0.0;372.0;206.0;130.0;977;5.6;Fair
3627;3628;95.0;3.0;USA;6000000.0;2025238.0;9589;105.0;84.0;289;8.0;244.0;230.0;15.0;489;5.8;Fair
2607;2608;107.0;1.0;USA;15000000.0;111936400.0;87538;79.0;27.0;0;425.0;742.0;384.0;247.0;2151;6.0;Fair
1236;1237;130.0;1.0;UK;30000000.0;51185897.0;69457;271.0;105.0;0;46.0;387.0;244.0;162.0;1233;6.7;Good
2862;2863;141.0;0.0;USA;19000000.0;13753931.0;132149;316.0;251.0;5000;16000.0;378.0;85.0;78.0;751;7.9;Good
1842;1843;175.0;14.0;USA;26000000.0;50800000.0;40277;210.0;56.0;0;0.0;385.0;232.0;14.0;669;7.4;Good
441;442;83.0;1.0;USA;80000000.0;155019340.0;127345;250.0;166.0;0;12.0;13000.0;7000.0;925.0;22813;6.8;Good
4488;4489;104.0;0.0;USA;80000000.0;79363785.0;139426;698.0;276.0;0;301.0;18000.0;4000.0;71.0;22194;5.5;Fair
3283;3284;123.0;4.0;USA;9000000.0;36049108.0;10139;70.0;29.0;0;473.0;890.0;851.0;685.0;3661;6.8;Good
3636;3637;96.0;2.0;USA;6000000.0;115862.0;7394;50.0;63.0;0;19.0;1000.0;943.0;71.0;2163;6.7;Good
2640;2641;123.0;0.0;UK;15000000.0;35887263.0;265507;388.0;419.0;90000;120.0;13000.0;876.0;149.0;14100;7.7;Good
3553;3554;99.0;0.0;USA;6500000.0;84263837.0;81699;291.0;271.0;45000;40.0;1000.0;421.0;300.0;2323;5.4;Fair
4497;4498;142.0;3.0;Italy;1200000.0;6100000.0;503509;780.0;181.0;20000;0.0;16000.0;34.0;24.0;16089;8.9;Excellent
2769;2770;101.0;0.0;USA;15000000.0;51527787.0;45603;268.0;264.0;0;71.0;10000.0;960.0;725.0;14159;5.5;Fair
2052;2053;85.0;6.0;USA;23000000.0;86930411.0;83269;87.0;43.0;0;119.0;3000.0;348.0;144.0;3847;6.8;Good
4027;4028;107.0;0.0;USA;3300000.0;13092000.0;399138;731.0;535.0;129000;141.0;24000.0;970.0;535.0;26495;8.5;Excellent
2089;2090;114.0;0.0;USA;22000000.0;50728000.0;48909;166.0;53.0;0;34.0;649.0;327.0;287.0;1725;5.8;Fair
815;816;22.0;1.0;USA;3000000.0;;24420;94.0;20.0;990;;870.0;558.0;271.0;2433;6.6;Good
4630;4631;101.0;0.0;UK;20000000.0;2319187.0;92640;212.0;393.0;23000;0.0;3000.0;1000.0;888.0;5056;7.0;Good
3881;3882;93.0;1.0;UK;;2542264.0;3407;48.0;50.0;61;23.0;471.0;232.0;130.0;938;7.1;Good
1179;1180;108.0;1.0;Hong Kong;41000000.0;22108977.0;29861;132.0;98.0;505;4.0;687.0;312.0;96.0;1134;5.2;Fair
2754;2755;101.0;1.0;USA;14600000.0;70906973.0;437418;609.0;147.0;38000;11000.0;13000.0;571.0;512.0;15500;8.1;Excellent
2351;2352;96.0;2.0;USA;20000000.0;;21833;101.0;64.0;0;160.0;14000.0;1000.0;889.0;17957;5.6;Fair
3824;3825;121.0;0.0;USA;5000000.0;1729969.0;68211;219.0;359.0;14000;337.0;982.0;463.0;41.0;1520;7.4;Good
962;963;78.0;0.0;USA;50000000.0;58336565.0;12845;118.0;87.0;624;5.0;8000.0;2000.0;1000.0;11124;6.6;Good
649;650;127.0;1.0;USA;70000000.0;182805123.0;158864;395.0;149.0;0;278.0;2000.0;955.0;912.0;5838;6.4;Good
2100;2101;96.0;1.0;USA;22000000.0;19351569.0;33287;201.0;97.0;739;221.0;240.0;226.0;110.0;664;5.9;Fair
4785;4786;89.0;2.0;USA;439000.0;2300000.0;7921;97.0;65.0;439;24.0;610.0;105.0;45.0;995;7.7;Good
3853;3854;133.0;1.0;USA;4500000.0;727883.0;580999;2110.0;283.0;33000;219.0;15000.0;933.0;701.0;17040;8.1;Excellent
600;601;116.0;0.0;USA;70000000.0;83552429.0;154955;800.0;355.0;25000;473.0;833.0;697.0;464.0;4001;5.8;Fair
4934;4935;98.0;0.0;USA;;;53;1.0;2.0;197;0.0;52.0;36.0;21.0;130;7.1;Good
444;445;120.0;0.0;USA;75000000.0;140459099.0;135601;493.0;125.0;0;75.0;11000.0;4000.0;3000.0;22750;6.1;Good
2451;2452;114.0;4.0;UK;18000000.0;5694401.0;194489;192.0;209.0;12000;0.0;27000.0;18000.0;1000.0;46944;7.3;Good
1461;1462;155.0;2.0;USA;30000000.0;25078937.0;31751;216.0;91.0;0;16000.0;18000.0;461.0;229.0;19689;6.6;Good
3433;3434;99.0;1.0;USA;7500000.0;106593296.0;72324;134.0;61.0;3000;78.0;11000.0;509.0;325.0;12619;7.4;Good
3040;3041;92.0;0.0;USA;11000000.0;;36559;131.0;48.0;0;0.0;1000.0;898.0;842.0;3931;6.9;Good
2636;2637;99.0;0.0;USA;16000000.0;37882551.0;80305;393.0;97.0;0;11.0;11000.0;983.0;971.0;15369;5.7;Fair
2858;2859;112.0;2.0;USA;13000000.0;22858926.0;254404;840.0;242.0;0;0.0;512.0;216.0;213.0;1171;7.8;Good
822;823;125.0;2.0;USA;58000000.0;44665963.0;159931;281.0;246.0;22000;189.0;1000.0;847.0;839.0;5081;6.3;Good
3766;3767;95.0;2.0;USA;5000000.0;5308707.0;15053;165.0;81.0;393;4000.0;4000.0;585.0;334.0;5245;6.4;Good
1871;1872;118.0;0.0;USA;26000000.0;26761283.0;43084;99.0;85.0;19000;97.0;775.0;523.0;437.0;3197;6.7;Good
2869;2870;88.0;0.0;Sweden;;;335;;;22;76.0;690.0;94.0;75.0;998;8.1;Excellent
3783;3784;95.0;0.0;USA;5000000.0;3219029.0;28845;125.0;322.0;10000;57.0;727.0;442.0;233.0;1836;7.1;Good
909;910;124.0;1.0;USA;55000000.0;5755286.0;18310;63.0;106.0;672;161.0;21000.0;3000.0;681.0;26334;5.9;Fair
907;908;189.0;0.0;USA;53000000.0;25031037.0;155496;532.0;250.0;0;0.0;16000.0;3000.0;1000.0;22186;7.6;Good
2588;2589;92.0;2.0;USA;16000000.0;2964.0;7444;42.0;54.0;0;143.0;1000.0;945.0;613.0;3086;5.1;Fair
1095;1096;122.0;1.0;USA;35000000.0;31598308.0;124765;541.0;208.0;0;117.0;40000.0;1000.0;140.0;41636;6.8;Good
1265;1266;102.0;1.0;USA;40000000.0;32853640.0;50199;101.0;146.0;702;65.0;1000.0;613.0;490.0;3239;5.7;Fair
4007;4008;101.0;3.0;USA;3500000.0;220234.0;1950;24.0;30.0;360;0.0;827.0;729.0;681.0;3574;6.5;Good
3591;3592;106.0;4.0;USA;6000000.0;23272306.0;740918;1182.0;162.0;28000;0.0;18000.0;979.0;574.0;20821;8.6;Excellent
3756;3757;82.0;0.0;USA;5000000.0;9628751.0;5164;65.0;29.0;207;99.0;93.0;45.0;44.0;315;5.9;Fair
4159;4160;144.0;0.0;India;120000000.0;;27569;106.0;15.0;349;124.0;464.0;426.0;327.0;1761;8.2;Excellent
293;294;116.0;2.0;USA;100000000.0;119219978.0;189806;316.0;265.0;16000;285.0;12000.0;8000.0;107.0;20233;6.7;Good
341;342;100.0;1.0;USA;115000000.0;131144183.0;157016;824.0;199.0;0;165.0;11000.0;509.0;240.0;12150;5.7;Fair
266;267;121.0;0.0;USA;160000000.0;48068396.0;60573;248.0;79.0;894;101.0;673.0;368.0;202.0;2027;3.7;Bad
403;404;44.0;1.0;USA;;;159910;270.0;103.0;59000;;544.0;183.0;148.0;996;8.6;Excellent
1857;1858;99.0;0.0;Canada;26000000.0;13829734.0;16194;79.0;32.0;319;5.0;1000.0;691.0;535.0;2960;4.3;Fair
946;947;90.0;1.0;USA;50000000.0;81517441.0;111368;394.0;143.0;0;241.0;1000.0;495.0;416.0;3148;7.1;Good
1590;1591;106.0;2.0;USA;31000000.0;11854694.0;14281;64.0;126.0;0;12.0;11000.0;3000.0;946.0;17560;6.5;Good
4315;4316;99.0;2.0;USA;;2843.0;2895;24.0;18.0;604;308.0;638.0;449.0;395.0;2341;5.4;Fair
583;584;116.0;2.0;USA;70000000.0;152149590.0;74274;255.0;103.0;0;0.0;8000.0;3000.0;995.0;12790;5.5;Fair
56;57;122.0;4.0;USA;185000000.0;130468626.0;53607;432.0;322.0;30000;681.0;998.0;119.0;105.0;1327;7.5;Good
1952;1953;93.0;5.0;USA;25000000.0;17718223.0;162067;316.0;92.0;0;17.0;13000.0;634.0;360.0;14180;6.6;Good
621;622;97.0;0.0;USA;70000000.0;19819494.0;26893;126.0;79.0;815;13.0;11000.0;893.0;695.0;13628;5.8;Fair
868;869;110.0;0.0;USA;55000000.0;38553833.0;46239;155.0;62.0;0;81.0;1000.0;416.0;163.0;1752;6.8;Good
3047;3048;184.0;0.0;UK;11000000.0;;101627;369.0;124.0;0;0.0;385.0;293.0;111.0;1104;8.1;Excellent
3988;3989;42.0;2.0;USA;;;27418;92.0;22.0;14000;;912.0;906.0;496.0;4337;7.8;Good
2207;2208;92.0;0.0;USA;11000000.0;34334256.0;35131;255.0;282.0;16000;34.0;383.0;333.0;322.0;1945;4.8;Fair
4835;4836;104.0;1.0;Cameroon;;32631.0;291;8.0;27.0;50;0.0;2.0;0.0;;2;7.5;Good
2894;2895;100.0;0.0;Canada;12500000.0;;16281;96.0;62.0;0;218.0;581.0;201.0;91.0;931;7.4;Good
2138;2139;133.0;0.0;USA;;37721949.0;6067;73.0;75.0;0;0.0;1000.0;912.0;637.0;6035;6.0;Fair
2348;2349;153.0;0.0;India;;;102;1.0;2.0;58;0.0;109.0;36.0;7.0;164;7.0;Good
4073;4074;97.0;0.0;USA;3000000.0;;1361;16.0;7.0;889;78.0;685.0;178.0;77.0;1163;6.6;Good
1362;1363;90.0;0.0;USA;55000000.0;7871693.0;52908;102.0;118.0;0;27.0;13000.0;2000.0;260.0;15494;6.5;Good
273;274;115.0;1.0;USA;120000000.0;144795350.0;387632;789.0;225.0;0;295.0;10000.0;981.0;466.0;12068;7.1;Good
3917;3918;110.0;2.0;USA;4000000.0;6525762.0;44339;425.0;143.0;0;675.0;16000.0;977.0;968.0;19928;6.7;Good
4612;4613;90.0;4.0;USA;1000000.0;;1612;28.0;6.0;297;15.0;984.0;157.0;106.0;1752;2.8;Bad
4587;4588;120.0;0.0;USA;;227241.0;56;2.0;;32;0.0;12.0;3.0;0.0;15;7.4;Good
3071;3072;96.0;0.0;Italy;;;618;12.0;28.0;85;4.0;917.0;545.0;199.0;1827;6.2;Good
4855;4856;94.0;0.0;USA;250000.0;1977544.0;3513;36.0;23.0;423;4.0;360.0;273.0;10.0;656;6.5;Good
4910;4911;59.0;0.0;France;150000.0;;352;4.0;16.0;44;121.0;27.0;0.0;0.0;27;7.4;Good
1891;1892;134.0;0.0;USA;25000000.0;56505065.0;95241;439.0;84.0;11000;170.0;2000.0;722.0;472.0;4453;7.8;Good
2396;2397;122.0;0.0;USA;20000000.0;75072454.0;96569;522.0;233.0;0;301.0;1000.0;539.0;457.0;2759;6.7;Good
2366;2367;101.0;2.0;USA;19000000.0;27758465.0;77987;120.0;181.0;0;8.0;544.0;449.0;110.0;1292;6.1;Good
3409;3410;108.0;2.0;USA;8000000.0;568695.0;16617;110.0;74.0;412;12.0;2000.0;844.0;710.0;3921;6.5;Good
514;515;107.0;5.0;USA;76000000.0;127083765.0;191912;370.0;150.0;0;309.0;23000.0;787.0;771.0;25296;5.9;Fair
3455;3456;89.0;0.0;France;7300000.0;4443403.0;70194;158.0;242.0;14000;10.0;963.0;545.0;106.0;1754;8.0;Good
3978;3979;99.0;2.0;Iceland;3800000.0;19959.0;3579;14.0;61.0;0;29.0;117.0;64.0;64.0;298;6.9;Good
2538;2539;128.0;0.0;USA;16400000.0;95860116.0;277451;491.0;96.0;23000;608.0;49000.0;1000.0;1000.0;51609;8.0;Good
3529;3530;103.0;0.0;USA;7000000.0;532988.0;5863;25.0;133.0;0;6.0;7000.0;1000.0;935.0;9660;6.5;Good
5024;5025;108.0;2.0;USA;10000.0;180483.0;16792;183.0;73.0;0;0.0;462.0;143.0;105.0;760;6.1;Good
4839;4840;109.0;0.0;USA;200000.0;5199.0;720;23.0;13.0;30;3.0;54.0;53.0;25.0;185;6.6;Good
4608;4609;;9.0;Pakistan;1000000.0;;876;15.0;6.0;259;3.0;7.0;5.0;4.0;19;7.0;Good
342;343;119.0;1.0;UK;100000000.0;23014504.0;172707;462.0;355.0;37000;0.0;40000.0;11000.0;968.0;54031;6.3;Good
